age,income,debt_ratio,employment_years,region,has_mortgage,enquiries_6m,postcode_noise,defaulted
66,69010,0.375,1.9,north,yes,1,593,yes
37,35306,0.265,3.3,south,yes,4,8853,no
65,27887,0.186,2.4,south,no,3,9954,no
30,32124,0.277,5.6,north,yes,0,3261,no
58,28266,0.593,7.4,north,no,1,4405,no
50,41431,0.358,5.4,coastal,yes,4,8548,no
24,,0.054,4,coastal,yes,3,9668,yes
49,35540,0.02,4.1,inland,yes,4,1564,yes
22,23644,0.189,2,coastal,no,1,888,no
46,52825,0.516,6.1,south,no,1,9520,yes
45,22981,0.02,6.8,coastal,no,1,7388,no
47,70101,0.192,0.7,inland,no,2,3006,yes
27,76196,0.032,0,south,no,2,8552,yes
34,58888,0.367,2.8,inland,no,3,3165,yes
58,41699,0.344,5.8,north,no,3,8035,no
41,27901,0.02,7.3,south,no,2,2721,yes
23,39378,0.288,1.5,south,no,1,6869,no
24,33634,0.44,4,south,yes,2,9756,no
65,79726,0.533,3.5,coastal,yes,5,5087,yes
32,29716,0.154,5.6,north,yes,1,7805,no
31,44901,0.299,3.5,north,yes,3,5630,no
51,43420,0.323,5.1,inland,no,4,984,no
56,74723,0.177,4.7,inland,yes,2,1665,yes
48,54355,0.166,16.8,coastal,no,2,6284,yes
40,23852,0.346,7.5,inland,no,2,6791,no
61,52292,0.339,6.3,coastal,no,3,6869,no
42,42571,0.12,10.4,south,yes,3,3638,no
55,49486,0.222,5.9,south,yes,1,2183,no
32,53004,0.22,9.7,inland,yes,4,3001,no
32,39270,0.291,4.2,north,no,0,3795,yes
59,47074,0.41,9.2,coastal,no,2,8299,yes
55,39281,0.593,0.6,inland,yes,4,7048,yes
52,55146,0.291,7.7,inland,no,5,974,yes
55,61661,0.541,7.4,coastal,no,3,267,yes
35,78742,0.351,7,coastal,no,2,1275,yes
46,23160,0.283,4.7,north,no,5,3347,yes
52,22822,0.369,10,coastal,no,4,8655,no
43,54297,0.277,21.2,coastal,no,3,7839,yes
51,48791,0.709,6.8,north,no,2,935,no
62,26065,0.347,2.3,south,yes,2,816,no
58,28469,0.388,6.9,north,no,4,3228,yes
36,27831,0.128,12.5,north,no,1,1556,yes
33,37113,0.361,1.9,coastal,yes,4,4609,yes
45,34845,0.502,10.6,north,yes,3,2991,yes
36,61332,0.543,4.7,south,no,2,9758,no
61,29984,0.138,2.3,coastal,no,3,7427,yes
32,35109,0.464,2.6,south,yes,0,7630,yes
66,25115,0.16,12,north,yes,1,5822,yes
60,63392,0.469,6.5,south,no,3,8352,no
54,36330,0.355,6,coastal,yes,2,4926,no
46,47102,0.264,6.7,coastal,no,1,8674,yes
37,43399,0.466,2.6,south,yes,2,8975,yes
60,23456,0.517,10.1,south,no,5,5497,yes
41,31471,0.236,2.6,coastal,no,0,2521,no
27,26366,0.281,6.8,coastal,no,2,5851,no
51,39938,0.347,6.5,south,no,0,4822,no
57,22242,0.33,0,south,yes,4,4481,yes
56,41314,0.306,6,north,yes,3,6187,no
57,24399,0.289,1.5,south,yes,5,9536,yes
37,56943,0.052,1.2,coastal,no,0,9305,yes
50,40181,0.372,7,north,no,4,7060,yes
64,41951,0.28,2.1,north,no,3,4897,yes
25,,0.205,5,south,no,1,7650,no
29,41080,0.445,8.4,coastal,no,1,2755,no
28,66140,0.415,6.2,inland,yes,0,5663,yes
58,49586,0.02,5.7,inland,yes,1,1604,yes
47,28643,0.079,11.3,coastal,no,2,6100,no
51,28030,0.107,4.8,south,no,1,8310,yes
41,23692,0.423,2.7,south,yes,4,2178,yes
37,46844,0.362,5.4,inland,yes,4,5326,yes
65,32414,0.02,7.6,south,yes,4,8798,no
26,64153,0.239,6,inland,no,0,5288,yes
30,41764,0.477,1.4,inland,yes,0,2913,yes
47,46112,0.3,5.4,coastal,yes,3,7784,yes
46,36336,0.17,10.2,inland,yes,3,9537,no
60,47691,0.347,7.3,south,no,4,5828,yes
60,29458,0.352,15.4,north,yes,4,3017,no
57,35052,0.125,6.2,coastal,no,2,6023,no
46,29851,0.106,9.5,inland,yes,0,1534,no
44,53898,0.02,8.6,south,yes,1,5840,yes
59,42639,0.077,9.4,south,no,2,1989,no
59,47641,0.225,8.9,south,yes,0,5056,yes
31,40149,0.383,0,south,yes,0,1492,yes
40,64833,0.754,2.6,north,no,2,312,yes
28,36327,0.25,8,north,no,4,5710,yes
40,55460,0.27,9.6,inland,yes,4,6949,yes
61,34845,0.138,0.6,north,yes,0,8157,no
67,38435,0.192,7.3,inland,yes,3,7723,no
52,58826,0.306,13.5,coastal,no,2,6326,no
59,45821,0.07,3.5,coastal,no,4,3824,yes
41,63333,0.02,9.2,coastal,no,4,1567,yes
44,59184,0.169,8.4,south,no,4,2238,yes
27,34026,0.13,5.3,inland,no,4,6546,no
58,47389,0.041,6.6,south,no,0,5364,yes
31,28268,0.585,2.7,inland,no,1,1275,no
60,48814,0.204,7.5,south,no,1,6817,yes
50,49935,0.14,8.5,coastal,yes,1,7061,yes
63,30041,0.451,4.2,coastal,no,0,3085,yes
45,67657,0.176,3.1,inland,yes,3,2973,yes
49,70006,0.381,9,inland,no,3,2299,yes
47,30305,0.291,6.4,inland,no,0,7695,no
65,27235,0.35,2.4,inland,no,0,6807,no
40,50377,0.27,2.5,south,no,1,2894,yes
33,,0.12,0,south,yes,1,7397,no
42,26410,0.193,7.7,inland,no,2,4029,no
43,27689,0.13,0,north,yes,5,2600,no
32,44572,0.02,3,north,no,3,7109,yes
27,,0.22,4.7,inland,no,2,5155,yes
61,26757,0.354,9.4,inland,no,5,4864,yes
46,40403,0.392,6.2,south,yes,4,4708,no
61,31019,0.317,9.7,north,yes,4,4851,no
31,31512,0.307,4.6,south,yes,4,1866,no
64,30920,0.092,9.1,coastal,yes,1,429,yes
46,55119,0.358,2.4,north,no,2,9118,yes
28,24799,0.398,2.3,north,yes,2,1613,yes
34,27201,0.609,9.3,inland,no,2,4635,yes
42,31110,0.322,10.7,south,no,4,3562,yes
29,39451,0.195,5.7,north,no,4,2811,yes
52,42112,0.121,3.4,south,no,5,9829,no
36,22585,0.242,1.3,coastal,no,3,9168,no
54,38755,0.5,7.5,south,no,4,3428,yes
40,33807,0.376,5.9,south,yes,0,4940,no
29,,0.057,8.1,inland,yes,5,2416,yes
65,45476,0.318,4.7,south,no,2,6884,yes
52,30525,0.287,4.6,coastal,no,5,7820,yes
62,27591,0.431,10.1,south,yes,0,5700,no
58,41509,0.57,0,north,no,1,3457,yes
53,,0.058,3.1,coastal,yes,2,5777,no
33,30779,0.585,13,north,yes,1,5033,yes
63,34489,0.02,0,inland,no,5,2698,yes
63,75406,0.487,11.6,inland,yes,0,3668,no
49,47466,0.43,0,inland,yes,5,8415,yes
41,23822,0.284,5.8,north,yes,2,1020,no
24,32873,0.102,0,south,no,4,7422,no
25,62116,0.145,1.9,inland,no,2,837,yes
39,66578,0.094,4.6,inland,yes,1,6082,yes
31,31630,0.084,8,south,yes,1,2667,no
48,32062,0.237,0.8,inland,no,5,2322,yes
52,34685,0.574,9.5,coastal,no,0,8746,no
27,30341,0.52,3.8,south,yes,5,118,yes
59,26217,0.156,9.6,coastal,no,1,2959,yes
27,44774,0.36,5,coastal,yes,2,7393,yes
60,40124,0.359,5.6,south,yes,5,8728,no
55,23502,0.377,0.1,coastal,yes,3,4517,no
55,47615,0.197,1.5,south,no,2,754,yes
24,62820,0.519,0.8,south,no,4,7821,no
63,46934,0.131,1.5,north,yes,1,7122,yes
48,78887,0.185,4.2,inland,yes,1,7410,yes
35,45218,0.143,0,north,no,5,2925,yes
34,34755,0.076,9.6,south,no,4,9344,yes
26,41097,0.222,6,inland,yes,0,7489,yes
52,23983,0.226,0.1,north,yes,3,5172,yes
38,47770,0.388,6.5,south,yes,1,2858,no
37,37478,0.127,0.2,south,yes,4,8847,no
63,41129,0.232,11.2,coastal,no,4,6708,no
32,55510,0.09,11.9,south,no,0,5812,yes
65,,0.383,0,south,yes,0,3345,no
63,39662,0.091,5.1,south,no,1,5269,no
62,50881,0.489,2.5,south,yes,5,7645,no
34,46005,0.313,4.7,coastal,no,3,493,yes
22,47356,0.337,2,coastal,no,0,4640,no
25,44641,0.462,5,south,yes,1,8902,yes
49,29139,0.02,10.2,inland,no,1,3520,yes
28,23992,0.26,4.5,south,no,4,768,yes
28,35726,0.463,5.2,coastal,no,4,2307,yes
60,33297,0.328,0.2,south,yes,2,9857,no
29,41254,0.235,5.7,coastal,no,0,2120,no
29,24990,0.386,5,inland,no,2,8694,yes
42,35986,0.091,4.6,coastal,no,3,2431,no
23,25056,0.442,3,south,no,3,5727,yes
43,38837,0.222,5,north,no,2,6826,yes
66,32736,0.25,7.3,inland,yes,5,6971,no
67,41566,0.452,9.9,north,no,3,411,no
56,36695,0.348,3.4,north,no,1,3931,no
31,34874,0.073,7.7,inland,yes,0,9117,no
27,28298,0.471,7,coastal,yes,2,1131,yes
31,24237,0.674,4.3,inland,yes,3,2051,yes
57,42831,0.205,17.1,inland,yes,3,2608,no
42,52490,0.309,11.7,south,no,5,1918,yes
36,40966,0.02,8.9,coastal,no,1,8441,no
56,75338,0.138,7.3,inland,yes,5,8991,yes
27,,0.355,7,coastal,yes,2,5883,yes
56,68367,0.147,9.2,coastal,no,3,2771,yes
64,47576,0.199,8.2,north,yes,5,1411,yes
27,46072,0.31,0.8,north,yes,1,6697,yes
24,36254,0.475,4,south,no,3,3931,yes
60,78984,0.533,1.2,coastal,yes,3,1268,no
23,69550,0.266,2,inland,no,5,5424,yes
38,30426,0.164,2.9,coastal,no,3,7216,no
45,48272,0.297,0.5,north,yes,5,3181,yes
55,41896,0.379,8.5,south,no,4,3601,yes
54,30719,0.333,4.3,inland,no,2,9830,no
29,35838,0.556,3.3,north,no,0,2241,yes
50,47712,0.457,9.6,north,yes,2,2778,no
29,22821,0.069,7.6,inland,no,5,5824,no
30,24873,0.609,9.9,north,yes,4,3033,no
37,24629,0.135,9,north,no,5,3920,no
41,40451,0.053,0.6,south,yes,1,2201,yes
24,24022,0.02,3.7,coastal,no,1,3459,yes
66,,0.405,8.9,south,yes,3,5927,yes
29,27966,0.344,7.9,coastal,yes,4,6756,no
63,31019,0.164,8.1,north,no,1,8808,no
24,50470,0.573,4,south,yes,3,1985,no
33,22785,0.222,12,north,no,2,9498,no
52,37553,0.02,5.1,south,no,0,9478,no
47,57695,0.304,4.7,south,yes,4,1159,no
42,36089,0.409,6.1,inland,no,3,4240,yes
24,31561,0.082,4,south,yes,0,3976,no
47,41562,0.209,11.2,coastal,yes,3,381,no
41,,0.466,13.3,north,no,4,8754,yes
50,75787,0.25,3,north,yes,4,9931,no
39,36741,0.257,0.2,north,no,5,47,no
49,27425,0.491,6.5,inland,no,0,6639,yes
60,31684,0.454,6.1,north,no,2,4467,yes
62,28149,0.075,3.2,north,no,1,667,no
24,27792,0.689,3,inland,yes,1,8036,no
29,34460,0.138,6.6,north,yes,4,6547,yes
36,32224,0.2,10,south,no,5,8284,yes
43,48934,0.02,2.6,north,no,3,225,yes
49,44117,0.257,5.6,inland,yes,5,7786,no
66,30048,0.358,5.8,north,yes,3,1937,no
29,27282,0.056,3.4,coastal,no,4,4822,yes
34,52495,0.216,5.4,coastal,yes,3,1356,yes
42,58374,0.477,1.8,inland,yes,1,5946,no
27,56387,0.489,7,coastal,no,5,7894,no
31,30755,0.232,0,inland,no,4,717,yes
53,34332,0.172,0.4,coastal,no,0,1418,no
35,26432,0.048,5.9,south,no,3,5315,yes
47,23637,0.439,5.5,north,no,2,4147,yes
58,26296,0.447,12.1,coastal,yes,4,4478,yes
50,55607,0.228,3.9,coastal,yes,3,8318,yes
49,32679,0.02,14.4,inland,no,5,2595,yes
44,29215,0.193,1.3,south,yes,3,2994,no
53,42586,0.02,0.7,inland,yes,3,8884,no
66,54462,0.417,0.2,south,no,2,2345,no
64,36094,0.02,10.8,coastal,no,4,3415,no
33,69261,0.327,4.2,inland,yes,1,8492,yes
55,58092,0.02,0.6,inland,no,5,6316,yes
63,29330,0.02,8.5,south,no,1,5976,no
43,39405,0.23,4.1,coastal,yes,2,3680,no
48,24899,0.307,1.8,coastal,no,1,693,yes
33,24486,0.222,3.9,south,no,3,2918,no
49,,0.177,0,south,yes,2,8975,no
24,55709,0.378,4,south,yes,1,6610,no
30,22877,0.185,10,south,yes,1,4368,yes
28,45145,0.187,3,inland,no,1,7858,yes
33,,0.196,12.4,coastal,no,2,5410,yes
55,35785,0.555,14.8,north,no,2,1188,no
28,50004,0.307,4.4,inland,no,3,9640,yes
28,24246,0.374,2.4,south,no,0,3360,no
61,49181,0.031,6.3,north,no,2,5962,yes
26,48896,0.339,6,north,yes,0,6168,yes
61,26790,0.191,1.7,inland,yes,4,7644,no
38,25306,0.181,4.7,north,no,4,918,no
43,38657,0.492,4.1,north,no,5,7124,yes
65,47132,0.29,1.9,south,yes,5,3287,yes
30,35566,0.161,7.4,coastal,no,5,4059,no
36,,0.052,5.6,coastal,no,2,9259,yes
24,46411,0.438,4,north,no,2,4665,yes
64,22990,0.299,10.7,south,yes,2,2811,no
56,51348,0.135,7.6,south,yes,0,3260,yes
37,24312,0.071,7.6,south,no,1,4923,no
48,25662,0.306,10,south,yes,4,417,yes
58,78635,0.33,1.1,north,no,5,8187,yes
39,24743,0.509,9.9,north,yes,2,4581,yes
42,98075,0.363,7.1,inland,yes,5,887,yes
48,65821,0.02,5.9,south,no,1,9207,yes
31,55046,0.656,3.3,inland,no,5,3185,no
60,54719,0.168,2.4,inland,no,2,4041,no
43,36045,0.26,0,south,no,2,6517,yes
45,42272,0.618,2.9,coastal,yes,5,9732,yes
44,53793,0.191,0.5,coastal,no,0,8854,yes
32,46744,0.432,3.1,south,yes,5,7615,no
26,25070,0.147,5,south,no,2,7825,no
57,27932,0.125,5.8,inland,yes,5,5942,no
33,24442,0.02,8.3,north,yes,1,2399,no
54,63605,0.091,4,south,no,5,4498,yes
64,50326,0.266,7.5,north,yes,3,8169,no
59,66087,0.135,4.9,coastal,no,3,6713,yes
23,45034,0.271,3,north,yes,2,4770,yes
53,27336,0.284,0,coastal,yes,4,4841,yes
41,39226,0.229,2,coastal,no,5,8386,no
58,25997,0.323,4.7,inland,no,2,645,no
65,29020,0.02,17.4,north,no,3,6906,yes
28,38084,0.406,5.5,south,yes,4,6264,yes
34,71799,0.414,6.4,south,yes,4,9278,no
48,61614,0.371,6.5,inland,no,5,7116,no
41,32562,0.32,8.5,inland,no,0,9670,yes
62,32148,0.471,14.9,coastal,no,1,1749,yes
28,33754,0.409,2.5,coastal,no,3,6799,no
63,32149,0.02,4.2,coastal,yes,5,3057,yes
53,23882,0.237,5.3,coastal,no,2,294,yes
55,31617,0.449,10.5,south,yes,0,6065,no
59,84830,0.541,9.9,south,yes,5,9861,yes
59,35882,0.464,7.4,north,no,0,6834,no
63,25612,0.14,6.2,coastal,yes,3,4480,no
57,27326,0.27,13.3,coastal,yes,3,1455,no
46,56875,0.196,6,inland,no,2,3032,yes
47,35385,0.207,0,south,yes,1,6662,no
62,56661,0.206,4.7,coastal,yes,0,5031,yes
28,50869,0.39,7.1,north,yes,1,4113,no
41,33443,0.184,9.8,coastal,yes,3,9185,no
53,73044,0.02,9,south,yes,5,3028,yes
26,51561,0.35,1.5,coastal,no,3,8337,yes
44,48264,0.221,1.1,inland,no,0,5110,yes
31,38288,0.319,9.6,inland,yes,1,5092,no
61,36972,0.459,5.8,north,no,0,9407,yes
44,26422,0.178,7.1,north,yes,2,8059,no
36,34225,0.478,2.6,coastal,yes,1,1988,yes
31,24058,0.308,6.6,south,no,1,2913,yes
62,31540,0.02,4.1,north,yes,0,348,no
36,35532,0.218,3.7,north,no,2,95,no
65,30150,0.353,10.8,coastal,no,1,3119,yes
65,56484,0.363,4.2,inland,no,5,8615,no
49,48106,0.378,4.4,south,no,3,207,yes
47,81277,0.487,7.1,north,no,4,4140,no
34,40589,0.02,3.2,north,no,0,891,no
43,32367,0.564,5.1,north,no,3,7560,yes
67,35889,0.413,5.3,south,yes,2,5609,no
25,,0.474,5,inland,no,3,7806,yes
54,36441,0.206,1.1,south,no,2,1730,yes
42,73701,0.229,0,south,yes,4,206,yes
32,22539,0.167,7.4,north,no,5,81,no
36,59386,0.485,5.6,coastal,no,1,4434,no
55,45013,0.683,2.9,north,yes,5,461,yes
27,44923,0.284,7,north,no,5,5122,no
42,35071,0.458,3.9,coastal,yes,2,7128,yes
36,22090,0.113,4.4,coastal,no,3,6082,no
31,52519,0.649,9,north,yes,5,882,no
22,,0.198,2,inland,yes,5,213,yes
30,24718,0.177,5.6,south,no,4,8981,no
54,,0.116,0,coastal,no,1,9733,yes
30,25048,0.25,1.1,north,yes,4,2672,yes
43,56792,0.287,4.6,south,yes,2,827,no
42,25637,0.443,0,south,no,5,8833,yes
26,37277,0.325,0,north,yes,3,5956,yes
30,24796,0.338,7.6,north,yes,5,9653,no
55,26853,0.233,11.4,south,no,2,8697,no
26,62796,0.381,3.3,coastal,no,0,2376,no
59,32094,0.283,6,south,no,0,679,no
59,38535,0.439,3,north,no,2,4546,yes
56,31242,0.576,1.2,coastal,yes,3,5541,no
32,25490,0.433,11.1,inland,no,0,4579,yes
50,27452,0.51,7.1,inland,no,0,8954,yes
63,25518,0.43,4.1,coastal,yes,2,1741,yes
47,57814,0.516,12.1,coastal,yes,0,7230,yes
22,24432,0.442,2,south,no,3,3873,yes
58,,0.345,2.2,inland,no,5,8177,yes
53,52675,0.02,0,south,no,3,7443,yes
37,33146,0.297,9.6,north,no,4,2847,no
44,77571,0.222,8,north,yes,3,4146,yes
58,34633,0.02,5.2,north,no,1,2979,yes
34,28730,0.289,0,north,yes,4,6758,yes
43,31008,0.401,3.1,north,no,1,6369,yes
34,70020,0.494,2.9,south,no,0,2958,no
41,27074,0.249,8.3,north,yes,1,8565,no
31,39488,0.158,7.1,north,no,0,4326,no
29,47855,0.258,8.1,south,yes,3,401,yes
47,48241,0.359,1.4,inland,yes,2,9997,yes
43,36296,0.02,6.1,north,no,0,4883,no
46,29394,0.036,0,coastal,yes,4,6331,yes
64,89429,0.028,8.8,north,no,4,301,yes
60,46533,0.07,4.3,south,yes,0,6182,yes
59,,0.235,5.6,north,no,1,1414,no
33,26239,0.216,2.4,coastal,yes,3,7194,no
42,25431,0.143,6.6,south,yes,5,5733,yes
35,30747,0.451,11.1,south,yes,5,1727,yes
32,57582,0.321,12,north,no,2,6192,yes
36,22527,0.167,4.7,south,no,1,3116,yes
47,37120,0.502,0,south,yes,2,8589,yes
53,30255,0.263,0.6,south,yes,0,8770,no
42,94888,0.246,4.4,inland,no,2,980,yes
31,27437,0.554,10.2,inland,no,1,6420,yes
65,49932,0.3,6,south,no,0,6048,yes
36,53397,0.02,9.1,coastal,no,1,4083,yes
53,42433,0.266,6.5,south,yes,2,1616,no
45,58023,0.108,4.5,coastal,yes,5,2136,yes
32,32575,0.165,9.8,coastal,yes,2,2111,no
25,47235,0.426,4.6,south,yes,0,4682,no
51,38545,0.707,10.5,inland,no,4,8041,yes
45,42113,0.346,13.7,south,no,3,3915,yes
67,34970,0.338,3,north,no,5,7927,yes
35,28587,0.144,15,south,yes,4,9423,no
40,24459,0.304,9.8,north,no,4,126,yes
36,28501,0.758,2.3,inland,yes,4,9392,yes
39,49638,0.457,12.2,south,yes,4,5044,yes
59,52828,0.276,2.2,south,no,1,2516,no
45,55285,0.478,9.1,coastal,no,5,6719,yes
26,57011,0.592,6,south,yes,2,9463,no
50,25930,0.34,9.8,north,yes,2,3689,no
41,56887,0.278,7.2,south,yes,1,2788,yes
41,52320,0.02,1.5,south,yes,2,5908,yes
44,79411,0.385,3.3,north,yes,2,9330,no
65,,0.403,4.1,north,yes,5,2455,yes
22,35335,0.077,2,south,yes,0,3517,no
64,27659,0.269,6.1,inland,no,4,5706,no
45,37625,0.149,0.3,coastal,no,2,3298,yes
34,49971,0.076,14,coastal,yes,3,3054,no
53,51204,0.507,9.5,north,no,3,7650,no
57,39985,0.02,16.2,north,yes,0,8298,no
37,41149,0.238,7.1,south,yes,2,1214,no
36,64910,0.491,7.8,coastal,no,3,3127,no
61,26460,0.423,5.5,north,yes,2,5133,yes
23,57589,0.36,3,inland,no,0,2502,yes
40,29893,0.064,9,south,yes,1,8498,yes
47,40628,0.158,0.4,inland,no,3,1978,no
44,25900,0.282,6.9,north,yes,5,8020,no
36,32740,0.248,8.5,coastal,yes,2,1827,yes
54,,0.382,10.2,inland,yes,4,5471,no
31,46505,0.177,3.6,south,no,2,6086,yes
59,65775,0.02,2.6,north,no,1,1563,yes
61,24936,0.256,1.6,south,yes,3,9642,yes
30,47929,0.128,8.8,north,yes,3,882,yes
65,30794,0.297,12.3,inland,no,3,9580,yes
33,40556,0.445,6,north,yes,2,5465,yes
47,50061,0.365,13.1,coastal,no,4,576,yes
65,60172,0.446,2.3,inland,yes,0,1370,no
31,38442,0.083,3.8,inland,yes,3,6856,no
56,39560,0.159,7.1,south,yes,5,1714,no
26,31214,0.158,6,south,no,1,5293,no
49,44846,0.356,6.2,coastal,yes,1,5293,no
59,52793,0.309,4.6,north,yes,1,7979,yes
50,25834,0.02,7.4,inland,yes,2,2432,no
65,77459,0.425,8.9,inland,no,0,1845,no
41,33538,0.348,8.1,south,yes,2,1948,no
58,31489,0.173,1.3,north,no,0,2309,no
46,28977,0.249,10.1,coastal,yes,0,1969,no
49,48686,0.02,11.3,coastal,no,5,3125,yes
26,29548,0.362,1.8,inland,yes,0,1855,no
48,41490,0.091,4.7,north,yes,3,3726,no
47,23669,0.151,0,north,no,0,1676,yes
63,30289,0.371,3.3,coastal,no,5,1079,yes
61,25282,0.425,0.9,coastal,yes,4,6251,no
23,57832,0.581,3,inland,yes,2,4367,no
65,41561,0.405,6.7,coastal,yes,1,4165,yes
64,32427,0.533,0.5,coastal,no,3,9915,yes
40,,0.128,7.7,coastal,yes,3,6470,yes
39,34897,0.341,0,south,no,4,955,yes
46,27053,0.487,2.6,inland,yes,4,7131,no
43,49360,0.467,8.5,north,no,4,6477,no
66,40618,0.21,7.7,north,yes,0,143,no
51,51615,0.233,4.5,inland,no,0,9235,no
58,44183,0.309,4.9,north,yes,1,2564,no
40,24408,0.027,0,south,yes,4,8628,yes
55,76025,0.129,3,north,yes,3,2164,yes
25,,0.211,1.8,inland,no,2,5109,yes
52,42707,0.579,2.5,coastal,no,3,7210,yes
32,27097,0.093,5.1,coastal,yes,4,8396,no
23,31666,0.225,3,coastal,yes,1,2359,no
23,42207,0.389,3,coastal,no,5,3971,yes
40,24270,0.083,3.6,north,no,5,1708,no
40,29409,0.123,11.2,inland,yes,2,6489,no
24,23894,0.38,4,inland,no,0,5060,no
45,28495,0.357,3.9,coastal,yes,5,4327,no
28,44284,0.387,3,inland,no,5,9749,yes
54,67459,0.483,2.8,coastal,no,1,7845,no
43,32684,0.091,5.1,north,yes,0,3833,yes
49,23653,0.309,2.7,inland,yes,5,290,no
49,76795,0.325,6.5,coastal,yes,0,8590,no
48,44012,0.468,3.9,north,no,4,7878,yes
25,23678,0.285,5,inland,yes,0,9570,no
48,38464,0.373,0.1,south,yes,0,9382,no
50,40416,0.213,9.1,north,no,3,8093,no
43,35040,0.127,2.4,coastal,no,1,9326,no
38,96218,0.471,5.1,south,no,4,7733,no
66,40044,0.393,6.7,coastal,no,2,4580,yes
32,43460,0.353,8.2,coastal,yes,4,7666,no
47,69395,0.45,8.7,south,no,2,5285,no
35,32908,0.355,4.2,inland,yes,4,4902,yes
58,49481,0.103,3.3,inland,no,2,7895,yes
28,29184,0.323,8,south,no,0,872,no
59,32681,0.034,4.4,south,no,3,6140,no
43,,0.611,10.2,north,yes,4,1246,no
62,32621,0.408,6.6,coastal,no,1,9200,yes
51,55474,0.289,14.1,coastal,yes,3,9841,no
46,66129,0.183,10.4,south,no,0,7422,yes
33,28620,0.223,8.7,inland,no,1,2641,no
32,59398,0.108,6.2,inland,no,3,6763,yes
54,35253,0.204,7.6,coastal,no,4,9818,no
56,31286,0.43,5.2,south,no,5,7598,yes
33,35506,0.38,6.3,coastal,yes,3,5015,no
44,54556,0.158,8.1,inland,no,5,1935,yes
47,30903,0.192,4.2,north,no,5,1107,yes
61,39064,0.366,9.9,north,no,1,451,no
55,31318,0.244,12.7,south,no,4,6747,yes
46,63648,0.119,13.4,inland,yes,2,1684,yes
34,42295,0.126,0,inland,yes,0,1506,no
54,76104,0.133,5.9,north,yes,3,8437,yes
27,56772,0.147,0,coastal,no,2,7176,yes
29,23803,0.127,0.6,north,yes,5,1481,yes
61,45291,0.355,6.8,north,yes,5,4312,yes
59,41148,0.406,5,coastal,no,5,6022,yes
48,49811,0.43,16.5,north,no,3,3917,no
25,40298,0.452,5,north,no,3,6537,yes
44,37181,0.536,5.4,coastal,yes,0,6740,no
49,22388,0.031,2.3,inland,yes,2,5779,no
32,23665,0.529,9.4,inland,no,1,3638,yes
49,46385,0.486,10.1,coastal,yes,1,2460,no
65,69576,0.105,4.8,south,yes,3,1334,yes
48,29758,0.388,1.3,coastal,yes,4,7477,yes
33,28182,0.227,10.1,north,yes,4,6329,yes
44,45113,0.429,8.6,coastal,no,2,3289,no
36,30276,0.464,9.1,north,no,3,944,yes
42,56675,0.523,11.1,north,no,2,1127,yes
54,47524,0.273,6.7,north,yes,4,6758,yes
50,45520,0.277,15.8,inland,yes,2,3343,no
43,36509,0.324,3.3,inland,yes,3,7323,yes
45,80001,0.226,7.7,coastal,no,0,4654,yes
37,72593,0.534,8.6,north,no,5,7902,no
60,33685,0.604,0,inland,no,1,8207,yes
51,51651,0.226,4.9,north,no,3,933,no
63,42672,0.387,0,north,yes,5,9704,yes
57,42262,0.048,0.1,coastal,yes,3,9449,no
59,46938,0.481,8.1,south,no,1,5768,no
50,56808,0.376,3.6,coastal,no,0,5475,yes
58,47110,0.085,3.1,inland,no,2,1913,no
27,53814,0.516,0,south,no,3,2790,no
26,35314,0.275,6,inland,no,1,3581,no
26,55657,0.755,5.7,inland,yes,2,915,no
52,,0.577,6.3,south,yes,0,8595,no
23,22063,0.423,1.5,north,no,4,9324,yes
50,46256,0.699,8.2,coastal,no,1,358,no
43,48044,0.445,4.8,inland,no,4,9265,no
55,40151,0.237,2.6,inland,yes,5,2214,no
33,51655,0.112,0,inland,yes,5,7870,yes
61,36061,0.269,2.9,coastal,no,4,1073,no
64,42016,0.504,9.6,south,yes,4,5684,yes
45,68751,0.392,4.8,inland,no,2,4920,no
23,28267,0.169,3,north,no,2,9667,yes
42,44171,0.389,3,coastal,yes,2,4130,yes
32,22687,0.02,3.8,north,yes,1,4900,no
28,35169,0.02,6.5,north,yes,0,5215,yes
28,46839,0.194,8,north,no,1,886,yes
41,33517,0.02,4.4,coastal,no,1,5875,no
26,93328,0.592,6,south,no,1,1712,no
33,45091,0.512,0.8,inland,no,5,4319,yes
63,54391,0.378,3.2,coastal,no,0,2630,yes
52,38513,0.662,7.1,inland,no,3,7078,yes
31,44346,0.385,6.5,south,yes,0,4694,no
46,50951,0.122,4,inland,yes,4,7134,no
54,56642,0.375,2,north,yes,1,6128,yes
38,48809,0.266,4,north,no,4,4415,yes
65,26550,0.137,5,inland,yes,2,8826,no
29,23455,0.151,5.9,north,no,3,4220,yes
31,23035,0.27,6,south,no,3,8836,no
54,40946,0.295,7.6,north,no,2,1977,no
47,33625,0.151,6.7,south,no,0,3093,no
56,34569,0.421,8.5,inland,yes,2,6715,yes
52,25177,0.526,0.2,inland,no,4,214,yes
24,83284,0.492,4,inland,yes,2,8006,yes
37,72400,0.183,7.7,inland,yes,2,7851,yes
59,30134,0.352,9,north,no,0,9612,no
60,25633,0.36,8.9,inland,no,1,5694,yes
45,33499,0.02,10.1,coastal,no,5,5030,no
50,51766,0.282,3.4,north,no,1,4710,yes
66,24056,0.42,2.5,inland,no,2,7581,no
